Row	BroodID	PopID	BreedingSeason	Species	Plot	LocationID	FemaleID	MaleID	ClutchType_observed	ClutchType_calculated	LayDate	LayDateError	ClutchSize	ClutchSizeError	HatchDate	HatchDateError	BroodSize	BroodSizeError	FledgeDate	FledgeDateError	NumberFledged	NumberFledgedError	AvgEggMass	NumberEggs	AvgChickMass	NumberChicksMass	AvgTarsus	NumberChicksTarsus	ExperimentID
7819	2015_gra_16_1	MUR	2015	CYACAE	gra	gra_16_NB	7715530	7207756	first	first	16/04/2015	NA	7	NA	05/05/2015	NA	7	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
7820	2015_mur_41_1	MUR	2015	CYACAE	mur	mur_41_NB	7715533	6996576	first	first	19/04/2015	NA	8	NA	09/05/2015	NA	8	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA
7821	2015_ari_6_1	MUR	2015	CYACAE	ari	ari_6_NB	7715535	7209527	first	first	23/04/2015	NA	6	NA	08/05/2015	NA	6	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
7822	2015_mur_59_1	MUR	2015	CYACAE	mur	mur_59_NB	7715542	7209099	first	first	23/04/2015	NA	6	NA	10/05/2015	NA	6	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA
7823	2015_fel_3_1	MUR	2015	CYACAE	fel	fel_3_NB	7715546	1	first	first	23/04/2015	NA	5	NA	10/05/2015	NA	4	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA
7824	2015_ari_26_1	MUR	2015	CYACAE	ari	ari_26_NB	7715550	6990203	first	first	27/04/2015	NA	7	NA	13/05/2015	NA	7	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA
7825	2015_pir_97_1	PIR	2015	CYACAE	pir	pir_97_NB	7715574	6680076	first	first	29/04/2015	NA	5	NA	17/05/2015	NA	5	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA
7826	2015_pir_81_1	PIR	2015	CYACAE	pir	pir_81_NB	7715602	3661246	first	first	02/05/2015	NA	9	NA	21/05/2015	NA	9	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA
7827	2015_pir_20_1	PIR	2015	CYACAE	pir	pir_20_NB	7715604	7532028	first	first	02/05/2015	NA	7	NA	22/05/2015	NA	7	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA
7828	2015_pir_86_1	PIR	2015	CYACAE	pir	pir_86_NB	7715606	7715605	first	first	05/05/2015	NA	7	NA	24/05/2015	NA	7	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA
7829	2015_rou_83_1	ROU	2015	CYACAE	rou	rou_83_NB	7715917	7531587	first	first	14/04/2015	NA	9	NA	08/05/2015	NA	9	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
7830	2015_rou_322_1	ROU	2015	CYACAE	rou	rou_322_NB	7715941	6402429	first	first	18/04/2015	NA	9	NA	11/05/2015	NA	9	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA
7831	2015_rou_343_3	ROU	2015	CYACAE	rou	rou_343_NB	7715967	6989620	replacement	NA	NA	NA	8	NA	15/05/2015	NA	7	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA
7832	2015_rou_26_1	ROU	2015	CYACAE	rou	rou_26_NB	7715968	NA	first	first	19/04/2015	NA	4	NA	17/05/2015	NA	3	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
7833	2015_rou_313_3	ROU	2015	CYACAE	rou	rou_313_NB	7715999	7209079	replacement	NA	NA	NA	7	NA	03/06/2015	NA	7	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA
7834	2015_rou_348_3	ROU	2015	CYACAE	rou	rou_348_NB	7717305	7716000	replacement	replacement	18/05/2015	NA	8	NA	04/06/2015	NA	8	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
7835	2015_rou_369_1	ROU	2015	CYACAE	rou	rou_369_NB	7717445	7531516	first	first	16/04/2015	NA	10	NA	08/05/2015	NA	10	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA
7836	2015_pir_39_1	PIR	2015	CYACAE	pir	pir_39_NB	7717482	7530406	first	first	05/05/2015	NA	8	NA	24/05/2015	NA	8	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA
7837	2015_pir_128_1	PIR	2015	CYACAE	pir	pir_128_NB	7717868	7717867	first	first	03/05/2015	NA	7	NA	21/05/2015	NA	7	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA
7838	2015_pir_69_1	PIR	2015	CYACAE	pir	pir_69_NB	7717870	7530609	first	first	05/05/2015	NA	6	NA	22/05/2015	NA	6	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
7839	2015_pir_41_1	PIR	2015	CYACAE	pir	pir_41_NB	7717875	NA	first	first	08/05/2015	NA	6	NA	25/05/2015	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7840	2015_rou_233_1	ROU	2015	CYACAE	rou	rou_233_NB	NA	NA	first	first	26/03/2015	NA	10	NA	18/04/2015	NA	8	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
7841	2015_gra_14_1	MUR	2015	CYACAE	gra	gra_14_NB	NA	NA	first	first	06/04/2015	NA	8	NA	25/04/2015	NA	8	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
7842	2015_rou_359_1	ROU	2015	CYACAE	rou	rou_359_NB	NA	NA	first	first	06/04/2015	NA	9	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
7843	2015_rou_422_1	ROU	2015	CYACAE	rou	rou_422_NB	NA	NA	first	first	06/04/2015	NA	NA	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
7844	2015_rou_312_1	ROU	2015	CYACAE	rou	rou_312_NB	NA	NA	first	first	07/04/2015	NA	12	NA	01/05/2015	NA	11	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
7845	2015_rou_57_1	ROU	2015	CYACAE	rou	rou_57_NB	NA	6989999	first	first	08/04/2015	NA	11	NA	02/05/2015	NA	10	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	TRUE
7846	2015_fil_6_1	MUR	2015	CYACAE	fil	fil_6_NB	NA	NA	first	first	09/04/2015	NA	10	NA	01/05/2015	NA	8	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
7847	2015_rou_81_1	ROU	2015	CYACAE	rou	rou_81_NB	NA	NA	first	first	09/04/2015	NA	10	NA	30/04/2015	NA	10	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
